Source,Filename,Youtube,Delay,Speed,Remove Black Bar,Notes
DLC1,Brooks & Dunn - Hillbilly Deluxe,https://www.youtube.com/watch?v=H3QEKT2mk_Q,-13180,100,FALSE,
DLC1,Buckcherry - Out of Line,Not Found,,,FALSE,
DLC1,Buckcherry - Rescue Me,https://www.youtube.com/watch?v=LxZjxcScEsg,467,100,FALSE,
DLC1,Bullet For My Valentine - Waking the Demon,https://www.youtube.com/watch?v=q2I0ulTZWXA,3587,100.1,FALSE,
DLC1,Busted - Thunderbirds Are Go!,https://www.youtube.com/watch?v=Yl8SPiCdfcM,7960,100,FALSE,
DLC1,Buzzcocks - Ever Fallen in Love,https://www.youtube.com/watch?v=0Af7ayYIJ9w,-4880,100.75,FALSE,
DLC1,Cannibal Corpse - Hammer Smashed Face,Not Checked Yet,,,FALSE,
DLC1,Carrie Underwood - All-American Girl,Not Checked Yet,,,FALSE,
DLC1,Chely Wright - Single White Female,Not Checked Yet,,,FALSE,
DLC1,Children of Bodom - Are You Dead Yet,Not Checked Yet,,,FALSE,
DLC1,"Chiodos - I Didn't Say I Was Powerful, I Said I Was a Wizard",Not Checked Yet,,,FALSE,
DLC1,Cocktail Slippers - Give It to Me,Not Checked Yet,,,FALSE,
DLC1,Coheed and Cambria - A Favor House Atlantic,Not Checked Yet,,,FALSE,
DLC1,Coheed and Cambria - Guns of Summer,Not Checked Yet,,,FALSE,
DLC1,Coheed and Cambria - Here We Are Juggernaut,Not Checked Yet,,,FALSE,
DLC1,Coheed and Cambria - Ten Speed (Of God's Blood & Burial),Not Checked Yet,,,FALSE,
DLC1,Coheed and Cambria - The Broken,Not Checked Yet,,,FALSE,
DLC1,Coheed and Cambria - The Running Free,Not Checked Yet,,,FALSE,
DLC1,Count Zero - Shake,Not Checked Yet,,,FALSE,
DLC1,Crash Kings - Mountain Man,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Bad Moon Rising,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Born on the Bayou,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Down on the Corner,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Fortunate Son,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Fortunate Son (Original Version),Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Green River,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - I Heard It Through the Grapevine,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Lookin' Out My Back Door,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Proud Mary,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Run Through the Jungle,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Travelin' Band,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Up Around the Bend,Not Checked Yet,,,FALSE,
DLC1,Creedence Clearwater Revival - Who'll Stop the Rain,Not Checked Yet,,,FALSE,
DLC1,Crooked X - Gone,Not Checked Yet,,,FALSE,
DLC1,Crooked X - Rock 'n' Roll Dream,Not Checked Yet,,,FALSE,
DLC1,Cross Canadian Ragweed - Cry Lonely,Not Checked Yet,,,FALSE,
DLC1,Crown of Thorns - Rock Ready,Not Checked Yet,,,FALSE,
DLC1,Damone - Out Here All Night,Not Checked Yet,,,FALSE,
DLC1,Darius Rucker - Alright,Not Checked Yet,,,FALSE,
DLC1,Darryl Worley - Awful Beautiful Life,Not Checked Yet,,,FALSE,
DLC1,Dashboard Confessional - Hands Down,Not Checked Yet,,,FALSE,
DLC1,David Bowie - Heroes,Not Checked Yet,,,FALSE,
DLC1,David Bowie - Moonage Daydream,Not Checked Yet,,,FALSE,
DLC1,David Bowie - Queen Bitch,Not Checked Yet,,,FALSE,
DLC1,dc Talk - Jesus Freak,Not Checked Yet,,,FALSE,
DLC1,Dead Kennedys - California Über Alles,Not Checked Yet,,,FALSE,
DLC1,Dead Kennedys - Holiday in Cambodia,Not Checked Yet,,,FALSE,
DLC1,Dead Kennedys - Police Truck,Not Checked Yet,,,FALSE,
DLC1,Dealership - Database Corrupted,Not Checked Yet,,,FALSE,
DLC1,Dear and the Headlights - Sweet Talk,Not Checked Yet,,,FALSE,
DLC1,Deep Purple - Space Truckin',Not Checked Yet,,,FALSE,
DLC1,Deftones - Cherry Waves,Not Checked Yet,,,FALSE,
DLC1,Deftones - Hole in the Earth,Not Checked Yet,,,FALSE,
DLC1,Deftones - Minerva,Not Checked Yet,,,FALSE,
DLC1,DevilDriver - Clouds Over California,Not Checked Yet,,,FALSE,
DLC1,Devo - Girl U Want,Not Checked Yet,,,FALSE,
DLC1,Devo - Through Being Cool,Not Checked Yet,,,FALSE,
DLC1,Die Toten Hosen - Hier Kommt Alex,Not Checked Yet,,,FALSE,
DLC1,Dierks Bentley - Free and Easy (Down the Road I Go),Not Checked Yet,,,FALSE,
DLC1,Dierks Bentley - Sideways,Not Checked Yet,,,FALSE,
DLC1,Dierks Bentley - What Was I Thinkin',Not Checked Yet,,,FALSE,
